support,itemsets,support_count,itemset_str
0.13460870398543345,"frozenset({'loudness_very_low', 'energy_very_low', 'acousticness_very_high'})",11237,acousticness_very_high|energy_very_low|loudness_very_low
0.1317457085015393,"frozenset({'instrumentalness_low', 'tempo_very_low'})",10998,instrumentalness_low|tempo_very_low
0.13148216916829383,"frozenset({'instrumentalness_low', 'liveness_high'})",10976,instrumentalness_low|liveness_high
0.13100300674421111,"frozenset({'instrumentalness_low', 'danceability_very_high'})",10936,danceability_very_high|instrumentalness_low
0.13058373962313877,"frozenset({'instrumentalness_low', 'tempo_very_high'})",10901,instrumentalness_low|tempo_very_high
0.12958947759316713,"frozenset({'danceability_very_low', 'valence_very_low'})",10818,danceability_very_low|valence_very_low
0.12760095353322393,"frozenset({'instrumentalness_low', 'loudness_low'})",10652,instrumentalness_low|loudness_low
0.12703793768492674,"frozenset({'valence_low', 'instrumentalness_low'})",10605,instrumentalness_low|valence_low
0.12592388504893445,"frozenset({'mode_1', 'key_very_high'})",10512,key_very_high|mode_1
0.12518118329160627,"frozenset({'energy_very_low', 'mode_1', 'acousticness_very_high'})",10450,acousticness_very_high|energy_very_low|mode_1
0.12371973789815403,"frozenset({'duration_ms_very_low', 'instrumentalness_low'})",10328,duration_ms_very_low|instrumentalness_low
0.12260568526216174,"frozenset({'valence_very_low', 'instrumentalness_high'})",10235,instrumentalness_high|valence_very_low
0.12221037626229352,"frozenset({'instrumentalness_low', 'tempo_low'})",10202,instrumentalness_low|tempo_low
0.12179110914122114,"frozenset({'instrumentalness_low', 'key_high'})",10167,instrumentalness_low|key_high
0.1215515279291798,"frozenset({'loudness_very_low', 'energy_very_low', 'mode_1'})",10147,energy_very_low|loudness_very_low|mode_1
0.12137184202014878,"frozenset({'instrumentalness_low', 'key_very_high'})",10132,instrumentalness_low|key_very_high
0.1202937265659627,"frozenset({'instrumentalness_low', 'mode_1', 'key_very_low'})",10042,instrumentalness_low|key_very_low|mode_1
0.11971873165706345,"frozenset({'mode_0', 'key_very_high'})",9994,key_very_high|mode_0
0.11614897159764731,"frozenset({'instrumentalness_low', 'liveness_very_low'})",9696,instrumentalness_low|liveness_very_low
0.1159692856886163,"frozenset({'instrumentalness_high', 'loudness_very_low'})",9681,instrumentalness_high|loudness_very_low
0.11551408138573772,"frozenset({'instrumentalness_low', 'tempo_high'})",9643,instrumentalness_low|tempo_high
0.11550210232513566,"frozenset({'instrumentalness_low', 'acousticness_very_high'})",9642,acousticness_very_high|instrumentalness_low
0.11235160938679188,"frozenset({'instrumentalness_low', 'liveness_low'})",9379,instrumentalness_low|liveness_low
0.1116089076294637,"frozenset({'instrumentalness_low', 'speechiness_high'})",9317,instrumentalness_low|speechiness_high
0.1097641322967453,"frozenset({'instrumentalness_low', 'mode_1', 'acousticness_high'})",9163,acousticness_high|instrumentalness_low|mode_1
0.10965632075132668,"frozenset({'danceability_very_high', 'valence_very_high'})",9154,danceability_very_high|valence_very_high
0.10923705363025432,"frozenset({'loudness_very_high', 'acousticness_very_low'})",9119,acousticness_very_low|loudness_very_high
0.10767977575198553,"frozenset({'instrumentalness_low', 'speechiness_low'})",8989,instrumentalness_low|speechiness_low
0.10603864444950227,"frozenset({'instrumentalness_low', 'valence_very_high', 'mode_1'})",8852,instrumentalness_low|mode_1|valence_very_high
0.10561937732842991,"frozenset({'energy_low', 'loudness_low'})",8817,energy_low|loudness_low
0.10502042429832653,"frozenset({'valence_very_low', 'energy_very_low'})",8767,energy_very_low|valence_very_low
0.10502042429832653,"frozenset({'mode_0', 'danceability_very_high'})",8767,danceability_very_high|mode_0
0.10486469651049965,"frozenset({'instrumentalness_low', 'speechiness_very_low', 'mode_1'})",8754,instrumentalness_low|mode_1|speechiness_very_low
